year,state,state_po,totalvotes,dem,other,rep
2000,TEXAS,TX,6407637,0.379819581,0.027194424,0.592985995
2000,UTAH,UT,770754,0.263447222,0.068251349,0.66830143
2000,VERMONT,VT,294308,0.506347092,0.0866813,0.406971608
2000,VIRGINIA,VA,2739447,0.444356105,0.030906603,0.524737292
2000,WASHINGTON,WA,2487433,0.501582153,0.052631367,0.445786479
2000,WEST VIRGINIA,WV,648124,0.455926644,0.024921157,0.519152199
2000,WISCONSIN,WI,2598607,0.478328197,0.045540168,0.476131635
2000,WYOMING,WY,213726,0.28298382,0.024788748,0.692227431
2004,ALABAMA,AL,1883415,0.368444023,0.006949079,0.624606898
2004,ALASKA,AK,312598,0.355168619,0.034178082,0.610653299
2004,ARIZONA,AZ,2012585,0.443968329,0.00733733,0.548694341
2004,ARKANSAS,AR,1054945,0.445476304,0.011464105,0.543059591
2004,CALIFORNIA,CA,12421353,0.543055575,0.013367465,0.44357696
2004,COLORADO,CO,2129630,0.470378423,0.012510624,0.517110954
2004,CONNECTICUT,CT,1578769,0.54313709,0.017390131,0.439472779
2004,DELAWARE,DE,375190,0.533468376,0.009003438,0.457528186
2004,DISTRICT OF COLUMBIA,DC,227586,0.89183869,0.01476365,0.093397661
2004,FLORIDA,FL,7609810,0.4709111,0.008113737,0.520975162
2004,GEORGIA,GA,3301875,0.413749461,0.006502972,0.579747568
2004,HAWAII,HI,429013,0.540095522,0.007258521,0.452645957
2004,IDAHO,ID,598376,0.30264917,0.013441381,0.683909448
2004,ILLINOIS,IL,5274322,0.548231602,0.00698213,0.444786268
2004,INDIANA,IN,2468002,0.392629747,0.007922603,0.59944765
2004,IOWA,IA,1506908,0.492331317,0.008662108,0.499006575
2004,KANSAS,KS,1187756,0.366230943,0.013729251,0.620039806
2004,KENTUCKY,KY,1795882,0.39687073,0.007634132,0.595495138
2004,LOUISIANA,LA,1943106,0.422158647,0.01062114,0.567220213
2004,MAINE,ME,740752,0.535728557,0.018506869,0.445764574
2004,MARYLAND,MD,2384238,0.559717612,0.01050021,0.429782178
2004,MASSACHUSETTS,MA,2927455,0.616166602,0.017949379,0.365884019
2004,MICHIGAN,MI,4839252,0.512307067,0.009572347,0.478120586
