pcon,share_conservative_poll,share_conservative_poll_unweighted,share_labor_poll_unweighted,share_labor_poll,N,share_joint_poll,share_joint_poll_unweighted,sd_poll,share_conservative,share_labor,country_name,region_name,share_joint,year
bolton north east,0.4452766888244215,0.46875000000000006,0.53125,0.5547233111755785,32,0.6517004618116852,0.7619047619047619,0.08785737006897544,0.4547361895906349,0.5452638104093651,England,North West,41943,2017
bolton south east,0.3507760627090739,0.4285714285714286,0.5714285714285715,0.649223937290926,21,0.4363116696465017,0.5675675675675675,0.1041364070043741,0.3283105739548998,0.6716894260451002,England,North West,38226,2017
bolton west,0.32567847980884757,0.3947368421052631,0.6052631578947368,0.6743215201911523,38,0.7523534244388259,0.7916666666666667,0.0760214664279016,0.5097536576216081,0.4902463423783919,England,North West,47982,2017
bootle,0.07223665536088061,0.14285714285714288,0.8571428571428572,0.9277633446391194,28,0.6087377990300764,0.7,0.048923599689119496,0.12539840225174884,0.8746015977482512,England,North West,48318,2017
boston and skegness,0.6375972272798723,0.6415094339622642,0.3584905660377359,0.3624027727201277,53,0.5984192576839393,0.7464788732394365,0.06602843913369381,0.7182249144061101,0.2817750855938899,England,East Midlands,37970,2017
bosworth,0.8184089614329285,0.8484848484848485,0.15151515151515152,0.18159103856707154,33,0.5789519771487692,0.6226415094339622,0.067108174383355,0.7022059633735153,0.2977940366264848,England,East Midlands,45377,2017
bournemouth east,0.7682368593567447,0.7999999999999999,0.19999999999999998,0.2317631406432553,35,0.8727082876219124,0.875,0.07132400663419815,0.5933654864133632,0.4066345135866369,England,South West,42505,2017
bournemouth west,0.6484918478220746,0.6176470588235294,0.38235294117647056,0.35150815217792547,34,0.6243654290212666,0.6296296296296297,0.0818805031613297,0.5965975997795204,0.4034024002204795,England,South West,39913,2017
bracknell,0.7026370020828301,0.6590909090909091,0.34090909090909094,0.29736299791716997,44,0.6422291873123476,0.6567164179104478,0.0689100608479308,0.6609712953284554,0.3390287046715446,England,South East,49748,2017
bradford east,0.23849252200827803,0.3214285714285714,0.6785714285714285,0.761507477991722,28,0.6166725082747866,0.6511627906976745,0.08053700102490803,0.23748785849394202,0.762512141506058,England,Yorkshire and The Humber,39122,2017
bradford south,0.4187199117891628,0.42424242424242425,0.5757575757575757,0.5812800882108371,33,0.5713069248094773,0.66,0.08588109243713139,0.4119070158830336,0.5880929841169664,England,Yorkshire and The Humber,38028,2017
bradford west,0.21819018628772385,0.36,0.64,0.7818098137122762,25,0.7450294177221725,0.7575757575757576,0.08260344518128822,0.2039149948629211,0.7960850051370789,England,Yorkshire and The Humber,36986,2017
braintree,0.8364553798366569,0.7714285714285715,0.22857142857142856,0.16354462016334315,35,0.6972364035963263,0.6481481481481481,0.06251806079137016,0.694636970670273,0.305363029329727,England,East,47324,2017
brent central,0.35139742802268853,0.368421052631579,0.6315789473684211,0.6486025719773114,19,0.7145551102400698,0.6333333333333333,0.10952463688276474,0.21088828765567236,0.7891117123443276,England,London,48419,2017
brent north,0.4216403630756004,0.53125,0.46875000000000006,0.5783596369243996,32,0.8196093208109652,0.8421052631578947,0.08729614956089778,0.34182566612894255,0.6581743338710575,England,London,53931,2017
brentford and isleworth,0.3970133996894527,0.42105263157894735,0.5789473684210525,0.6029866003105472,38,0.6116452792092846,0.7307692307692308,0.07937150492205287,0.39596214942096813,0.6040378505790319,England,London,58546,2017
brentwood and ongar,0.5917273122021457,0.625,0.375,0.4082726877978544,24,0.520571337137109,0.5714285714285714,0.10032989339261632,0.763064445418676,0.23693555458132398,England,East,45620,2017
bridgwater and west somerset,0.4598390122291841,0.5,0.5,0.540160987770816,48,0.6995207179717045,0.7384615384615385,0.07193560416865796,0.6583630622872843,0.3416369377127158,England,South West,48774,2017
brigg and goole,0.6038825530239593,0.6052631578947368,0.39473684210526316,0.3961174469760406,38,0.6457983953364884,0.7307692307692307,0.07934077321363513,0.6469162210338681,0.3530837789661319,England,Yorkshire and The Humber,42075,2017
brighton - kemptown,0.5199064495200394,0.490566037735849,0.5094339622641509,0.4800935504799607,53,0.6561908159118537,0.7681159420289856,0.06862582896602197,0.39620934831082505,0.603790651689175,England,South East,47538,2017
brighton - pavilion,0.38293453609688366,0.33333333333333337,0.6666666666666667,0.6170654639031163,21,0.35907346771607546,0.35,0.1060762702158773,0.4176843057440072,0.5823156942559927,England,South East,26532,2017
bristol east,0.43815833891725786,0.3829787234042553,0.6170212765957447,0.5618416610827421,47,0.7210940499838193,0.746031746031746,0.07237250108933718,0.3613457556935818,0.6386542443064183,England,South West,48300,2017
bristol north west,0.500409138864235,0.5384615384615384,0.46153846153846156,0.49959086113576506,39,0.6687457079410408,0.6724137931034483,0.08006405009794919,0.45242710685665183,0.5475728931433482,England,South West,50039,2017
bristol south,0.3468644879041297,0.23255813953488372,0.7674418604651163,0.6531355120958703,43,0.6814756592069399,0.7962962962962963,0.07258507677604638,0.33800790353632587,0.6619920964636742,England,South West,49345,2017
bristol west,0.21890208892754473,0.2631578947368421,0.736842105263158,0.7810979110724552,38,0.6035176155047274,0.6333333333333333,0.06707889392559803,0.17300753196706953,0.8269924680329305,England,South West,57090,2017
broadland,0.7427207609054777,0.7368421052631579,0.2631578947368421,0.2572792390945223,38,0.5270872485924517,0.6440677966101696,0.07091259115898024,0.6614009306882195,0.3385990693117806,England,East,48996,2017
bromley and chislehurst,0.6216066169593875,0.7441860465116279,0.25581395348837205,0.3783933830406126,43,0.6784032327505989,0.6825396825396826,0.07395973617239673,0.617639842983317,0.382360157016683,England,London,40760,2017
bromsgrove,0.4809856028287983,0.5714285714285714,0.42857142857142855,0.5190143971712017,21,0.7399830983000304,0.6774193548387097,0.10903002048370412,0.664372284926507,0.3356277150734929,England,West Midlands,50413,2017
broxbourne,0.7732815857834495,0.7307692307692308,0.2692307692307693,0.22671841421655056,26,0.5089426135751218,0.6046511627906976,0.082115578694274,0.6826171423285073,0.31738285767149266,England,East,43238,2017
broxtowe,0.3958210868785425,0.4727272727272728,0.5272727272727273,0.6041789131214574,55,0.5471095103220913,0.6179775280898876,0.06594029724763176,0.5084437312877913,0.4915562687122087,England,East Midlands,51103,2017
buckingham,0.8581262472716559,0.7931034482758622,0.20689655172413793,0.14187375272834415,29,0.6788454425136335,0.6904761904761905,0.06479293038679153,NA,NA,England,South East,0,2017
burnley,0.26749839696737515,0.35,0.6499999999999999,0.7325016030326249,20,0.5986548797179294,0.6060606060606061,0.09898055480427954,0.3985500303407748,0.6014499696592251,England,North West,31311,2017
burton,0.6797834752903776,0.6875,0.3125,0.3202165247096225,32,0.7125273078567049,0.7441860465116279,0.0824768721393523,0.6050392054364871,0.3949607945635128,England,West Midlands,47825,2017
bury north,0.5208824854683577,0.5,0.5,0.4791175145316423,44,0.7679627758547328,0.8627450980392157,0.07531206618896769,0.45344853269775065,0.5465514673022493,England,North West,46991,2017
bury south,0.564863945030139,0.5531914893617021,0.44680851063829785,0.435136054969861,47,0.6978591841696198,0.7966101694915254,0.07231618938768757,0.4383335056342396,0.5616664943657603,England,North West,48365,2017
bury st edmunds,0.8176705741557334,0.75,0.25,0.18232942584426662,40,0.6583250442180315,0.6896551724137931,0.061050267467793844,0.6671985783451503,0.33280142165484977,England,East,55147,2017
calder valley,0.3860477101755675,0.38636363636363635,0.6136363636363636,0.6139522898244325,44,0.6487197759141522,0.6984126984126984,0.07339415316751435,0.505748428385343,0.4942515716146571,England,Yorkshire and The Humber,52971,2017
camberwell and peckham,0.3470111879484942,0.2857142857142857,0.7142857142857143,0.6529888120515058,28,0.5593874581006772,0.5957446808510638,0.08995920174228765,0.14128888376206405,0.858711116237936,England,London,52014,2017
camborne and redruth,0.5523915940950679,0.5490196078431372,0.45098039215686275,0.4476084059049321,51,0.7122051905423382,0.6710526315789473,0.06962858338977053,0.5177490151941474,0.48225098480585255,England,South West,44425,2017
cambridge,0.35859068479067335,0.33999999999999997,0.6599999999999999,0.6414093152093266,50,0.4943916871489581,0.5555555555555556,0.0678238019535958,0.23930302633302764,0.7606969736669723,England,East,38165,2017
cannock chase,0.5610459894642357,0.5769230769230769,0.4230769230769231,0.4389540105357643,26,0.5484742198645114,0.6190476190476191,0.09732447458221952,0.5948242739292575,0.4051757260707425,England,West Midlands,44245,2017
canterbury,0.47455166926819814,0.49019607843137253,0.5098039215686274,0.5254483307318019,51,0.7010693331743973,0.7285714285714286,0.06992326080235821,0.49816511961065213,0.5018348803893479,England,South East,50957,2017
carlisle,0.37587235841042643,0.47222222222222227,0.5277777777777778,0.6241276415895736,36,0.8013923269349543,0.7826086956521738,0.08072455371223292,0.5322096914115751,0.46779030858842485,England,North West,40345,2017
carshalton and wallington,0.7817546262260979,0.76,0.23999999999999996,0.21824537377390216,25,0.36910622938976645,0.44642857142857145,0.08261097520310284,0.6751128080527594,0.32488719194724053,England,London,28810,2017
castle point,0.7467870335778507,0.6969696969696969,0.30303030303030304,0.25321296642214935,33,0.663479737131475,0.7021276595744681,0.0756979964623869,0.7285852713178295,0.27141472868217054,England,East,41280,2017
central devon,0.8015004022983264,0.78125,0.21875000000000003,0.19849959770167355,32,0.7012656984591062,0.64,0.07051097153412264,0.6672497653383395,0.33275023466166054,England,South West,46876,2017
central suffolk and north ipswich,0.6779967403748343,0.6590909090909091,0.3409090909090909,0.3220032596251658,44,0.7994520350814138,0.7857142857142858,0.07043971639506137,0.6691470304533553,0.3308529695466446,England,East,50799,2017
charnwood,0.7792358177436671,0.7647058823529412,0.23529411764705885,0.22076418225633299,34,0.7076599609079715,0.7727272727272727,0.07113106339068034,0.662451535937966,0.337548464062034,England,East Midlands,50295,2017
chatham and aylesford,0.48180625288303647,0.5121951219512195,0.4878048780487805,0.5181937471169636,41,0.6913371584130161,0.6833333333333333,0.07803516836405205,0.6284261715296198,0.3715738284703802,England,South East,40716,2017
cheadle,0.6318527624144055,0.7096774193548386,0.2903225806451613,0.36814723758559453,31,0.71647911447525,0.7045454545454546,0.0866239274557612,0.7002129618970876,0.2997870381029124,England,North West,34748,2017
chelmsford,0.6483914531649998,0.6216216216216217,0.3783783783783784,0.35160854683500015,37,0.5263059346953132,0.5692307692307692,0.0784959934642182,0.6429293567547074,0.35707064324529253,England,East,47478,2017
chelsea and fulham,0.8095246616964156,0.7000000000000001,0.30000000000000004,0.19047533830358446,20,0.76470114529026,0.7692307692307692,0.0878050351066838,0.6131877246336743,0.3868122753663257,England,London,36170,2017
cheltenham,0.6344340265093186,0.6551724137931034,0.3448275862068965,0.3655659734906815,29,0.42479388935378337,0.43283582089552236,0.08942874114035149,0.8311213815070418,0.16887861849295818,England,South West,32023,2017
chesham and amersham,0.7893138265958217,0.7692307692307693,0.23076923076923078,0.2106861734041782,26,0.7014008849340974,0.6842105263157894,0.07997535912355534,0.746613794332561,0.25338620566743897,England,South East,44888,2017
